komentar,clean_text
"Beli sepatu gak ada tali sepatunya,lain kali lebih teliti dan hati hati ,mengecewakan, baru kali ini beli sepatu gak ada tali sepatunya , terus pakainya gimana?????????",beli sepatu gak ada tali sepatunyalain kali lebih teliti dan hati hati kecewa baru kali ini beli sepatu gak ada tali sepatu terus pakai gimana
"Tdk sesuai harapan, merek berbeda dgn yg di pesan",tidak sesuai harap merek beda dgn yang di pesan
Spatu nya keren.cuman no 42 pas banget.sipp pokoe.blanja d shope👍👍👍,spatu nya kerencuman no pas bangetsipp pokoeblanja d shope
"Alhmdulilah paket sudah sampai Dengan baik barang oke dan bagus, trimkasih seller dan pak kurir",alhmdulilah paket sudah sampai dengan baik barang oke dan bagus trimkasih seller dan pak kurir
"Ini mah udah kaya sepatu mahal aja, pas ukurannya dan pik kaya di photo, untuk kurirnya trima kasih",ini mah udah kaya sepatu mahal aja pas ukur dan pik kaya di photo untuk kurir trima kasih
Bagus barang sesuai harga sayng gak ada tali sepatunya aja,bagus barang sesuai harga sayng gak ada tali sepatu aja
"Daya tahan pakai: Tidak tahan lama,lem tidak nempel sempurna,bahan alas licin",daya tahan pakai tidak tahan lamalem tidak nempel sempurnabahan alas licin
Barang sesuai yang di iklan Harga nya ekonomis,barang sesuai yang di iklan harga nya ekonomis
Ok bagus bgt sesuai pesanan pokoknya ok semua,ok bagus banget sesuai pesan pokok ok semua
Bentuk dan ukuran: Barang tidak sesuai dengan di live nya barang seperti barang murah kwalitas tak layak pakai kecewa dan talinya pun tidak sesuai apa yg di katakan tali bisa,bentuk dan ukur barang tidak sesuai dengan di live nya barang seperti barang murah kwalitas tak layak pakai kecewa dan tali pun tidak sesuai apa yang di kata tali bisa
mantap pesanan sda sampai barang sesuai harga 👍,mantap pesan sda sampai barang sesuai harga
Kalo dilihat elegan tapi lom di coba kekuatanya 👍,kalo lihat elegan tapi lom di coba kekuatanya
Sepatu keren banget ga kaleng² benar bagus banget jadi puas beli barang nya terimakasih tiktok,sepatu keren banget tidak kaleng benar bagus banget jadi puas beli barang nya terimakasih tiktok
"Barang sampai dengan selamat tidak ada hancur,, cuman sedikit kecewa dengan sepatu nya, tidak sesuwai dengan gambar tali d gambar putih d kirim itam, trus gambar contreng NYO hijap yg d kirim itam yg Ijam d Bawak, Hadee nyesal pokok nya beli d toko ini ku kira sesuwai dengan pesanan.",barang sampai dengan selamat tidak ada hancur cuman sedikit kecewa dengan sepatu nya tidak sesuwai dengan gambar tali d gambar putih d kirim itam trus gambar contreng nyo hijap yang d kirim itam yang ijam d bawak hadee nyesal pokok nya beli d toko ini ku kira sesuwai dengan pesan
Ok trimakasih brg da sampai cepat lo Cucok tuk ganti2 beraktivitas Keren🫰,ok trimakasih barang da sampai cepat lo cucok tuk ganti aktivitas keren
"Sesuai harga, cat nya gak rapih",sesuai harga cat nya gak rapih
Bahan nya jelek parah Daya tahan pakai: Tdk sesuai dgn iklan yg di tampilkan,bahan nya jelek parah daya tahan pakai tidak sesuai dgn iklan yang di tampil
Kalau gak niat jualan hfn jualan apa mau nipu orang masks beli sepatu gaj ada talinya maksudnya gmn,kalau gak niat jual hfn jual apa mau nipu orang masks beli sepatu gaj ada tali maksud gmn
Kurir sopan ramah.sepatu di cek ternyata cacat. Gimana ini tdk puas dng barang paketannya,kurir sopan ramahsepatu di cek nyata cacat gimana ini tidak puas dng barang paket
Bagus sesuai gambar makasihh 👍🏻 amanah,bagus sesuai gambar makasihh amanah
"Sepatu nya sudah sampai Tapi ga sama dengan yg di gambar nya, tali nya aturan warna putih, yg Dateng warna abu""",sepatu nya sudah sampai tapi tidak sama dengan yang di gambar nya tali nya atur warna putih yang dateng warna abu
"Barang bagus, penjual fast respon",barang bagus jual fast respon
